Column 1,Column 2,Modifier Indicator
0001A,99213,CPT Manual or CMS manual coding instruction
0001A,99282,CPT Manual or CMS manual coding instruction
0001A,99283,CPT Manual or CMS manual coding instruction
0001M,80053,Misuse of Column Two code with Column One code
0002A,99213,CPT Manual or CMS manual coding instruction
0002A,99282,CPT Manual or CMS manual coding instruction
0002A,99283,CPT Manual or CMS manual coding instruction
0002M,80053,Misuse of Column Two code with Column One code
0003M,80053,Misuse of Column Two code with Column One code
00100,93000,Standard preparation/monitoring services for anesthesia
00100,93010,Standard preparation/monitoring services for anesthesia
00100,99213,Standard preparation/monitoring services for anesthesia
00100,99282,Standard preparation/monitoring services for anesthesia
00100,99283,Standard preparation/monitoring services for anesthesia
00102,93000,Standard preparation/monitoring services for anesthesia
00102,93010,Standard preparation/monitoring services for anesthesia
00102,99213,Standard preparation/monitoring services for anesthesia
00102,99282,Standard preparation/monitoring services for anesthesia
00102,99283,Standard preparation/monitoring services for anesthesia
00103,93000,Standard preparation/monitoring services for anesthesia
00103,93010,Standard preparation/monitoring services for anesthesia
00103,99213,Standard preparation/monitoring services for anesthesia
00103,99282,Standard preparation/monitoring services for anesthesia
00103,99283,Standard preparation/monitoring services for anesthesia
00104,93000,Standard preparation/monitoring services for anesthesia
00104,93010,Standard preparation/monitoring services for anesthesia
00104,99213,Standard preparation/monitoring services for anesthesia
00104,99282,Standard preparation/monitoring services for anesthesia
00104,99283,Standard preparation/monitoring services for anesthesia
00120,93000,Standard preparation/monitoring services for anesthesia
00120,93010,Standard preparation/monitoring services for anesthesia
00120,99213,Standard preparation/monitoring services for anesthesia
00120,99282,Standard preparation/monitoring services for anesthesia
00120,99283,Standard preparation/monitoring services for anesthesia
00124,93000,Standard preparation/monitoring services for anesthesia
00124,93010,Standard preparation/monitoring services for anesthesia
00124,99213,Standard preparation/monitoring services for anesthesia
00124,99282,Standard preparation/monitoring services for anesthesia
00124,99283,Standard preparation/monitoring services for anesthesia
00126,93000,Standard preparation/monitoring services for anesthesia
00126,93010,Standard preparation/monitoring services for anesthesia
00126,99213,Standard preparation/monitoring services for anesthesia
00126,99282,Standard preparation/monitoring services for anesthesia
00126,99283,Standard preparation/monitoring services for anesthesia
00140,93000,Standard preparation/monitoring services for anesthesia
00140,93010,Standard preparation/monitoring services for anesthesia
00140,99213,Standard preparation/monitoring services for anesthesia
00140,99282,Standard preparation/monitoring services for anesthesia
00140,99283,Standard preparation/monitoring services for anesthesia
00142,93000,Standard preparation/monitoring services for anesthesia
00142,93010,Standard preparation/monitoring services for anesthesia
00142,99213,Standard preparation/monitoring services for anesthesia
00142,99282,Standard preparation/monitoring services for anesthesia
00142,99283,Standard preparation/monitoring services for anesthesia
00144,93000,Standard preparation/monitoring services for anesthesia
00144,93010,Standard preparation/monitoring services for anesthesia
00144,99213,Standard preparation/monitoring services for anesthesia
00144,99282,Standard preparation/monitoring services for anesthesia
00144,99283,Standard preparation/monitoring services for anesthesia
00145,93000,Standard preparation/monitoring services for anesthesia
00145,93010,Standard preparation/monitoring services for anesthesia
00145,99213,Standard preparation/monitoring services for anesthesia
00145,99282,Standard preparation/monitoring services for anesthesia
00145,99283,Standard preparation/monitoring services for anesthesia
00147,93000,Standard preparation/monitoring services for anesthesia
00147,93010,Standard preparation/monitoring services for anesthesia
00147,99213,Standard preparation/monitoring services for anesthesia
00147,99282,Standard preparation/monitoring services for anesthesia
00147,99283,Standard preparation/monitoring services for anesthesia
00148,93000,Standard preparation/monitoring services for anesthesia
00148,93010,Standard preparation/monitoring services for anesthesia
00148,99213,Standard preparation/monitoring services for anesthesia
00148,99282,Standard preparation/monitoring services for anesthesia
00148,99283,Standard preparation/monitoring services for anesthesia
0014M,80053,Misuse of Column Two code with Column One code
0014T,29881,More extensive procedure
00160,93000,Standard preparation/monitoring services for anesthesia
00160,93010,Standard preparation/monitoring services for anesthesia
00160,99213,Standard preparation/monitoring services for anesthesia
00160,99282,Standard preparation/monitoring services for anesthesia
00160,99283,Standard preparation/monitoring services for anesthesia
00162,93000,Standard preparation/monitoring services for anesthesia
00162,93010,Standard preparation/monitoring services for anesthesia
00162,99213,Standard preparation/monitoring services for anesthesia
00162,99282,Standard preparation/monitoring services for anesthesia
00162,99283,Standard preparation/monitoring services for anesthesia
00164,93000,Standard preparation/monitoring services for anesthesia
00164,93010,Standard preparation/monitoring services for anesthesia
00164,99213,Standard preparation/monitoring services for anesthesia
00164,99282,Standard preparation/monitoring services for anesthesia
00164,99283,Standard preparation/monitoring services for anesthesia
